country,candy,sales
BRA,chocolate cookies,3330525
CHN,chocolate cookies,6698160
MEX,butter cookies,4075530
ITA,chocolate cookies,8714497
ITA,white chocolate bar,9605855
FRA,chocolate bar,3885068
IND,dark chocolate bar,2711802
ARE,chocolate bar,2390831
IND,dark chocolate bar,5716507
FRA,butter cookies,735977
RUS,peanut butter pops,412104
RUS,caramel popcorn,7893131
DEU,butter cookies,9624403
TUR,blueberry bubblegum,6352528
TUR,chocolate bar,687919
SAU,chocolate bar,2116149
CAN,white chocolate bar,1339084
RUS,chocolate cookies,5818978
FRA,gummy bears,3444173
GBR,chocolate bar,1599613
DEU,lollipops,2810869
CHN,peanut butter pops,1292073
ARE,lollipops,4583009
USA,chocolate bar,6630240
MEX,chocolate cookies,8683951
ITA,peanut butter pops,3432326
GBR,chocolate cookies,4851902
ITA,butter cookies,446576
RUS,dark chocolate bar,5077361
IND,caramel popcorn,6281752
RUS,chocolate bar,5098532
MEX,lollipops,9724019
BRA,caramel popcorn,8628115
IND,chocolate cookies,8324025
IND,butter cookies,7334635
ITA,dark chocolate bar,2545676
BRA,blueberry bubblegum,4316650
FRA,dark chocolate bar,3456274
CAN,lollipops,3405778
CAN,peanut butter pops,9249658
ARE,peanut butter pops,2356815
ITA,caramel popcorn,4718215
USA,peanut butter pops,932632
MEX,caramel popcorn,3087625
CHN,blueberry bubblegum,9419041
GBR,white chocolate bar,321568
ARE,blueberry bubblegum,2300639
RUS,chocolate bar,6965728
ARE,white chocolate bar,6160947
USA,dark chocolate bar,9265826
TUR,chocolate bar,581841
IND,chocolate cookies,6780105
ITA,blueberry bubblegum,6529242
IND,dark chocolate bar,8050097
CAN,blueberry bubblegum,1173531
CAN,chocolate cookies,9837046
TUR,caramel popcorn,7383846
CHN,butter cookies,8717136
CHN,butter cookies,2057976
USA,lollipops,2147415
IND,chocolate cookies,2108076
ITA,dark chocolate bar,7756123
ITA,lollipops,2261755
GBR,white chocolate bar,602366
FRA,gummy bears,4813048
ITA,chocolate bar,2321726
GBR,peanut butter pops,3501368
DEU,lollipops,9212711
ITA,gummy bears,6176839
DEU,white chocolate bar,8765242
USA,blueberry bubblegum,9697659
MEX,butter cookies,1502300
MEX,dark chocolate bar,3262371
DEU,peanut butter pops,1825944
USA,butter cookies,1889418
RUS,gummy bears,9474915
ARE,chocolate bar,5599014
USA,chocolate bar,4925714
IND,gummy bears,5652085
TUR,peanut butter pops,2842690
ITA,chocolate bar,322275
SAU,gummy bears,6962896
ARE,white chocolate bar,3697935
FRA,white chocolate bar,6515246
DEU,white chocolate bar,3229243
GBR,blueberry bubblegum,5950502
ITA,white chocolate bar,4563258
BRA,dark chocolate bar,7688362
RUS,blueberry bubblegum,2801394
IND,lollipops,3011527
SAU,lollipops,7190680
GBR,white chocolate bar,2719277
SAU,white chocolate bar,2333376
SAU,blueberry bubblegum,8298216
SAU,butter cookies,6599608
SAU,peanut butter pops,4469482
ITA,white chocolate bar,4483104
ITA,blueberry bubblegum,1689516
MEX,blueberry bubblegum,9797706
USA,dark chocolate bar,701151
FRA,caramel popcorn,7854557
ARE,white chocolate bar,9147195
SAU,blueberry bubblegum,7011255
IND,white chocolate bar,413821
